response_id,responded_at,email,first_name,last_name,nickname,date_of_birth,university,graduation_class,hometown,majors,scheduling,interests,interest_adventure,interest_arts,interest_business,interest_public,interest_stem,personal_computer,operating_system,operating_system_usage_windows,operating_system_usage_mac,operating_system_usage_ios,operating_system_usage_android,website_experience,meetup_comfort
0,2015-09-06 22:40:03 -0400,vilma.braun@hotmail.com,Vilma,Braun,Voyatouch,1997,North Goyette University,Junior,"Rolfsonport, Colombia",Information Systems,conflict_after,Nulla maiores magnam ut. Et dolor repudiandae numquam et saepe itaque. Rerum quibusdam quam nam tempora.,1,1,1,0,0,1,Mac OS,0,1,0,1,1,Sounds fine
1,2015-08-31 09:31:01 -0400,daron.rosenbaum@hotmail.com,Daron,Rosenbaum,,1998,King Institute,Graduate,"Ashleighfurt, Saint Barthelemy",Finance,,Natus officia est. Qui maiores quia similique eum pariatur omnis. Velit excepturi veniam. Eligendi natus explicabo consequatur ea tempora minima quo. Exercitationem excepturi ut quae nisi dolore.,1,1,1,0,0,1,Windows OS,1,1,0,0,1,Sounds scary
2,2015-09-02 06:52:47 -0400,santino.thiel@yahoo.com,Santino,Thiel,,1999,East Missouri University,Sophomore,"North Carminemouth, Montenegro",Engineering,,Voluptatem minus optio reprehenderit ex. Assumenda et est nihil dolor quasi reprehenderit officiis. Veniam sit eos provident beatae. Rerum omnis sint accusamus eaque consequatur.,0,1,1,0,0,1,Mac OS,1,1,0,1,1,Sounds scary
3,2015-09-03 00:20:10 -0400,lorenz_barrows@yahoo.com,Lorenz,Barrows,,1999,East Rau College,Freshman,"Powlowskifort, Virgin Islands, U.S.",Marketing,,Quis nostrum sit exercitationem ea qui saepe. Sit alias quas. Architecto explicabo voluptas minus. Ex alias deserunt reprehenderit porro magni aut. Quis id nesciunt blanditiis et magni rerum.,1,1,0,0,0,0,Windows OS,1,1,0,1,1,Sounds scary
4,2015-09-03 07:37:09 -0400,rutherford.thea@yahoo.com,Thea,Rutherford,,1999,East New Mexico Institute,Freshman,"Ethaton, France",Engineering,,Ut occaecati dolorem est ut. Facere dolore maxime. Voluptas sunt qui et et odit.,0,1,0,0,0,1,Other,1,1,1,1,1,Sounds scary
5,2015-09-03 23:49:26 -0400,patsy.terry@hotmail.com,Patsy,Terry,,2000,North Mueller,Junior,"West Levi, Morocco",Information Systems,,Enim omnis porro. Blanditiis laboriosam mollitia recusandae sed aut. Repellendus maiores sed saepe. Quo molestias sunt et occaecati id. Earum a corrupti qui itaque quod voluptatibus.,1,1,0,0,0,1,Windows OS,1,1,1,0,1,Sounds scary
6,2015-09-02 03:34:46 -0400,melvin.marks@hotmail.com,Melvin,Marks,Cardify,1998,Smith College,Sophomore,"Lake Michaletown, Algeria",Finance,,Sed corrupti minima similique laboriosam. Quae eaque ea cupiditate. Id deserunt corporis iure reprehenderit. Nulla quia reprehenderit alias.,0,1,1,0,0,1,Windows OS,1,1,0,1,1,Sounds scary
7,2015-08-31 22:55:13 -0400,hamill_tremaine@gmail.com,Tremaine,Hamill,,1998,Friesen University,Senior,"Lemkemouth, Jamaica",Information Systems,,Quia temporibus nesciunt ratione. Beatae ratione magnam molestias et ipsa et. Est perferendis quia et sint. Voluptate enim quos quidem cumque doloribus ipsam. Vitae consequuntur ut qui at harum maxime ab.,0,1,1,0,1,1,Windows OS,1,0,0,1,0,Sounds scary
8,2015-09-04 05:05:14 -0400,stefan.romaguera@hotmail.com,Stefan,Romaguera,,1998,East Maryland College,Alumni,"Kileyport, Isle of Man",Information Systems,,Tempora non expedita similique nemo repellat sed sunt. Quod occaecati labore. Velit quam tenetur perspiciatis nulla minima. Molestiae nihil velit veritatis.,0,1,0,0,1,1,Windows OS,1,1,1,0,1,Sounds scary
9,2015-09-01 22:52:18 -0400,wolf.alta@hotmail.com,Alta,Wolf,Namfix,1997,Southern Idaho Academy,Alumni,"Walkerside, Faroe Islands",Information Systems,,Sit ea sunt dolor repudiandae fuga nostrum et. Harum culpa et qui aut est qui aut. Sint facere dolorum quaerat quis nostrum sed. Atque voluptates sed iste voluptatem qui magnam.,1,0,0,0,1,1,Mac OS,1,1,0,1,1,Sounds scary
